Credit Card Number,Bank,Amount,Method of Transaction,City,Transaction Date
154126354789632,SBI,100000,Online,Pune,"Sunday, May 2, 2021"
411852369874512,HDFC,150000,Offline,Mumbai,"Sunday, April 2, 2000"
421578965143214,ICICI,250000,Online,Shegaon,"Tuesday, May 1, 2012"
214587963125874,AXIS,1300000,Offline,Khamgaon,"Friday, August 2, 2013"
124578963541125,SBH,21458,Online,Akola,"Saturday, August 9, 2014"
927735727591731,SBI,3457986,Offline,Buldhana,"Thursday, July 12, 2012"
666278603213636,HDFC,425897,Online,Amravati,"Monday, September 2, 2013"
592606801710154,ICICI,215489,Offline,Pusad,"Monday, June 2, 2014"
944194784545402,AXIS,54646,Online,Shirdi,"Sunday, August 22, 2010"
580388808833872,SBH,54546,Offline,akola,"Monday, November 2, 2009"
377201128085555,SBI,5655,Online,Pune,"Tuesday, December 25, 2007"
529351996960991,HDFC,54646,Offline,Mumbai,"Friday, February 23, 2018"
410647501518462,ICICI,45641,Online,Shegaon,"Friday, March 12, 2004"
925716178487888,AXIS,445242,Offline,Khamgaon,"Tuesday, March 19, 2002"
146933978515773,SBH,54354343,Online,Akola,"Sunday, March 12, 2000"
995123860795409,SBI,45353,Offline,Buldhana,"Thursday, June 15, 2017"
745163903083085,HDFC,544338,Online,Amravati,"Sunday, September 2, 2018"
556619237812800,ICICI,876734,Offline,Pusad,"Saturday, August 9, 2014"
399505307462287,AXIS,786735,Online,Shirdi,"Thursday, July 12, 2012"
800864621466046,SBH,78687543,Offline,akola,"Tuesday, December 25, 2007"
263356939928577,SBI,78653,Online,Pune,"Friday, February 23, 2018"
347279081441339,HDFC,4538,Offline,Mumbai,"Friday, March 12, 2004"
102349263571661,ICICI,4587,Online,Shegaon,"Tuesday, March 19, 2002"
332758203744076,AXIS,453873,Offline,Khamgaon,"Sunday, March 12, 2000"
153720350698577,SBH,36354,Online,Akola,"Thursday, June 15, 2017"
109421344738065,SBI,87634,Offline,Buldhana,"Tuesday, December 25, 2007"
775780779981334,HDFC,7863453,Online,Amravati,"Friday, February 23, 2018"
953711749636188,ICICI,786534,Offline,Pusad,"Friday, March 12, 2004"
485646193643839,AXIS,8754345,Online,Shirdi,"Tuesday, December 25, 2007"
708674929867614,SBH,86543,Offline,akola,"Friday, February 23, 2018"
910927254468895,SBI,87534,Online,Hyderabad,"Friday, March 12, 2004"
182268425937749,HDFC,7865434,Offline,Bangalore,"Tuesday, March 19, 2002"
577922780533197,ICICI,876543,Online,Nagpur,"Sunday, March 12, 2000"
274020562809352,AXIS,876543,Offline,Aurangabad,"Thursday, June 15, 2017"
739032239543658,SBH,78653,Online,Shegaon,"Tuesday, December 25, 2007"
740413291833610,SBI,7854,Offline,Khamgaon,"Friday, February 23, 2018"
294369738673369,HDFC,7863543,Online,Akola,"Friday, March 12, 2004"
101573813853890,ICICI,453345,Offline,Buldhana,"Tuesday, March 19, 2002"
489070302676589,AXIS,43454847,Online,Amravati,"Sunday, March 12, 2000"
289997846543421,SBH,878453,Offline,Pusad,"Thursday, June 15, 2017"
653541933355169,SBI,783543,Online,Shirdi,"Tuesday, December 25, 2007"
329948490898096,HDFC,85343,Offline,akola,"Friday, February 23, 2018"
331572639903207,ICICI,378453,Online,Hyderabad,"Friday, March 12, 2004"
481670600720704,AXIS,4534378,Offline,Bangalore,"Tuesday, December 25, 2007"
102213229255622,SBH,453534,Online,Nagpur,"Friday, February 23, 2018"
916000568090649,SBI,83453,Offline,Aurangabad,"Friday, March 12, 2004"
717459212709599,SBI,4537354,Online,Shegaon,"Tuesday, March 19, 2002"
730653667097980,HDFC,783453,Offline,Khamgaon,"Sunday, March 12, 2000"
596310915142473,ICICI,783453,Online,Akola,"Thursday, June 15, 2017"
382059180855396,AXIS,783453,Offline,Buldhana,"Monday, June 2, 2014"
235840026859596,SBH,783543,Online,Amravati,"Sunday, August 22, 2010"
440425129183749,SBI,78533,Offline,Pusad,"Monday, November 2, 2009"
564628568803392,HDFC,7878543,Online,Shirdi,"Tuesday, December 25, 2007"
536396608859761,ICICI,78678,Offline,akola,"Friday, February 23, 2018"
885031501308191,AXIS,7878,Online,Hyderabad,"Friday, March 12, 2004"
815997211683662,SBH,786783,Offline,Bangalore,"Friday, February 23, 2018"
404025482775365,SBI,873354,Online,Nagpur,"Friday, March 12, 2004"
608421773499157,HDFC,786543,Offline,Aurangabad,"Tuesday, March 19, 2002"
234945874712494,ICICI,453873,Online,Shirdi,"Sunday, March 12, 2000"
611092227743448,AXIS,87533,Offline,akola,"Thursday, June 15, 2017"
629306539104853,SBH,875343,Online,Pune,"Monday, June 2, 2014"
887243946811649,SBI,8367354,Offline,Mumbai,"Sunday, August 22, 2010"
577160703791986,HDFC,783,Online,Shegaon,"Monday, November 2, 2009"
385871166922681,ICICI,7837,Offline,Khamgaon,"Tuesday, December 25, 2007"
188588987480193,AXIS,737373,Online,Akola,"Friday, February 23, 2018"
790119923251694,SBH,7375,Offline,Buldhana,"Friday, March 12, 2004"
519220751006308,SBI,7537,Online,Amravati,"Tuesday, December 25, 2007"
590308335093577,HDFC,543438,Offline,Pusad,"Friday, February 23, 2018"
459109028664681,ICICI,112313,Online,Shirdi,"Friday, March 12, 2004"
805133887959611,AXIS,7878543,Offline,akola,"Friday, February 23, 2018"
469087518914512,SBH,78678,Online,Pune,"Friday, March 12, 2004"
941303103656673,SBI,7878,Offline,Mumbai,"Tuesday, March 19, 2002"
110171414917586,HDFC,786783,Online,Shegaon,"Sunday, March 12, 2000"
769044287118146,ICICI,873354,Offline,Khamgaon,"Thursday, June 15, 2017"
518541092638021,AXIS,786543,Online,Akola,"Monday, June 2, 2014"
666295253648747,SBH,453873,Offline,Buldhana,"Sunday, August 22, 2010"
464480007784651,SBI,87533,Online,Amravati,"Monday, November 2, 2009"
392037360287770,HDFC,875343,Offline,Pusad,"Tuesday, December 25, 2007"
187955686762377,ICICI,8367354,Online,Shirdi,"Friday, February 23, 2018"
312870615761472,AXIS,783,Offline,akola,"Friday, March 12, 2004"
144213856469433,SBH,7837,Online,Hyderabad,"Friday, February 23, 2018"
807443999893496,SBI,737373,Offline,Bangalore,"Friday, March 12, 2004"
524150871477705,HDFC,7375,Online,Nagpur,"Tuesday, May 1, 2012"
876538006116180,ICICI,7537,Offline,Aurangabad,"Friday, August 2, 2013"
967227750989822,AXIS,543438,Online,Shirdi,"Saturday, August 9, 2014"
445548369950750,SBH,112313,Offline,akola,"Thursday, July 12, 2012"
379286328795362,SBI,7878543,Online,Pune,"Monday, September 2, 2013"
870071203551869,HDFC,78678,Offline,Mumbai,"Monday, June 2, 2014"
414694414531412,ICICI,7878,Online,Shegaon,"Sunday, August 22, 2010"
719875263174093,AXIS,786783,Offline,Khamgaon,"Monday, November 2, 2009"
678092408980844,SBH,873354,Online,Akola,"Tuesday, December 25, 2007"
847623060271985,SBI,786543,Offline,Buldhana,"Friday, February 23, 2018"
526769531281586,HDFC,453873,Online,Amravati,"Friday, March 12, 2004"
219021965481703,ICICI,87533,Offline,Pusad,"Tuesday, March 19, 2002"
903787717841844,AXIS,875343,Online,Shirdi,"Friday, February 23, 2018"
362268351891627,SBH,8367354,Offline,akola,"Friday, March 12, 2004"
262466799991983,SBI,783,Online,Pune,"Thursday, June 15, 2017"
826478899617339,HDFC,7837,Offline,Mumbai,"Monday, June 2, 2014"
430018967912028,ICICI,737373,Online,Shegaon,"Sunday, August 22, 2010"
734041714309225,AXIS,7375,Offline,Khamgaon,"Monday, November 2, 2009"
661045712325394,SBH,7537,Online,Akola,"Tuesday, December 25, 2007"
139864311129788,SBI,543438,Offline,Buldhana,"Friday, February 23, 2018"
408570016432017,HDFC,112313,Online,Amravati,"Sunday, August 22, 2010"
816722117960354,ICICI,5645665,Offline,Pusad,"Monday, November 2, 2009"
357191619546479,AXIS,4456,Online,Shirdi,"Tuesday, December 25, 2007"
357191169546479,SBH,54545,Offline,akola,"Friday, February 23, 2018"
